CROP_NAME,date,term
BareLand,1970-01-01,0.0
BareLand,1971-01-01,0.0
BareLand,1972-01-01,0.0
BareLand,1973-01-01,0.0
BareLand,1974-01-01,0.0
BareLand,1975-01-01,0.0
BareLand,1976-01-01,0.0
BareLand,1977-01-01,0.0
BareLand,1978-01-01,0.0
BareLand,1979-01-01,0.0
BareLand,1980-01-01,0.0
BareLand,1981-01-01,0.0
BareLand,1982-01-01,0.0
BareLand,1983-01-01,0.0
BareLand,1984-01-01,0.0
BareLand,1985-01-01,0.0
BareLand,1986-01-01,0.0
BareLand,1987-01-01,0.0
BareLand,1988-01-01,0.0
BareLand,1989-01-01,0.0
BareLand,1990-01-01,0.0
BareLand,1991-01-01,0.0
BareLand,1992-01-01,0.0
BareLand,1993-01-01,0.0
BareLand,1994-01-01,0.0
BareLand,1995-01-01,0.0
BareLand,1996-01-01,0.0
BareLand,1997-01-01,0.0
BareLand,1998-01-01,0.0
BareLand,1999-01-01,0.0
BareLand,2000-01-01,0.0
BareLand,2001-01-01,0.0
BareLand,2002-01-01,0.0
BareLand,2003-01-01,0.0
BareLand,2004-01-01,0.0
BareLand,2005-01-01,0.0
BareLand,2006-01-01,0.0
BareLand,2007-01-01,0.0
BareLand,2008-01-01,0.0
BareLand,2009-01-01,0.0
BareLand,2010-01-01,0.0
BareLand,2011-01-01,0.0
BareLand,2012-01-01,0.0
BareLand,2013-01-01,0.0
BareLand,2014-01-01,0.0
BareLand,2015-01-01,0.0
BareLand,2016-01-01,0.0
BareLand,2017-01-01,0.0
BareLand,2018-01-01,0.0
CitrusSubtropic,1970-01-01,48.05510626400367
CitrusSubtropic,1971-01-01,47.54876710629018
CitrusSubtropic,1972-01-01,51.66583562832874
CitrusSubtropic,1973-01-01,47.82425403696052
CitrusSubtropic,1974-01-01,43.54756855601469
CitrusSubtropic,1975-01-01,45.498136610651976
CitrusSubtropic,1976-01-01,45.66703107369146
CitrusSubtropic,1977-01-01,49.26060464118457
CitrusSubtropic,1978-01-01,46.653414199265384
CitrusSubtropic,1979-01-01,51.76786402387511
CitrusSubtropic,1980-01-01,46.37953747015611
CitrusSubtropic,1981-01-01,54.079514464416896
CitrusSubtropic,1982-01-01,42.23108569651056
CitrusSubtropic,1983-01-01,42.003401537190086
CitrusSubtropic,1984-01-01,52.6073020929752
CitrusSubtropic,1985-01-01,49.17971752571166
CitrusSubtropic,1986-01-01,72.04815266046832
CitrusSubtropic,1987-01-01,82.01283736593206
CitrusSubtropic,1988-01-01,79.11002934205693
CitrusSubtropic,1989-01-01,74.42879250385676
CitrusSubtropic,1990-01-01,73.16376160123967
CitrusSubtropic,1991-01-01,78.6679106076676
CitrusSubtropic,1992-01-01,74.45818439370983
CitrusSubtropic,1993-01-01,23.044801907943068
CitrusSubtropic,1994-01-01,25.468296626951332
CitrusSubtropic,1995-01-01,23.551142500918274
CitrusSubtropic,1996-01-01,23.719425296831954
CitrusSubtropic,1997-01-01,26.33866893204775
CitrusSubtropic,1998-01-01,21.44190448852158
CitrusSubtropic,1999-01-01,0.0
CitrusSubtropic,2000-01-01,0.0
CitrusSubtropic,2001-01-01,0.0
CitrusSubtropic,2002-01-01,0.0
CitrusSubtropic,2003-01-01,0.0
CitrusSubtropic,2004-01-01,0.0
CitrusSubtropic,2005-01-01,0.0
CitrusSubtropic,2006-01-01,0.0
